username,password,accountType
RohanAllen,vAhKGsL3s7,Employee
HalimahArnold,yN0J06NWG1,Employee
AmritaBernard,i76qEle7Fy,Employee
VirgilBriggs,cFv4SuGQZm,Employee
FannieByrne,vr9h3pr88Z,Manager
CaspianCampos,ZwOMpCh93N,Employee
EvangelineCarr,wQfh55wS6o,Manager
RoanCarson,3Xg3KbrV4l,Employee
MiyaCastillo,3IdlSXGYsQ,Employee
MyahClarke,kSrNQ93f7g,Employee
IsmailCohen,EPTUkM5cR8,Employee
AnnabelCurry,0ifQyWcY8I,Employee
KerryDaniel,MUvx9MweoQ,Employee
JadenDunn,7NnqKfJshv,Employee
RebeccaEstrada,rqkmVTK5Aw,Employee
IshaaqFrazier,H6jEtIWTmp,Manager
MiltonFrench,q2M5huph2N,Employee
BevanGraham,zwEAHBOMJg,Employee
KhloeGriffith,v185SeT5mt,Employee
ZahraHammond,CfZK5R09LG,Employee
MayurHarris,udVdraYVOy,Employee
AmirHaynes,7VvmTcYdMb,Employee
KhadijaHicks,jG3GcnTJpL,Employee
FfionHoffman,IsHxpwRO2c,Employee
MayurHoffman,cr4a0JCebC,Employee
DarrenHolt,3lRviDl4aj,Manager
AshaHopkins,SreTpVbdzI,Employee
HerbertHughes,5bWfEkiVeQ,Employee
KristenJohnson,bCTQf7h1Og,Employee
JolyonKelley,fZlHjw5jY1,Manager
DarienKennedy,Tk3wx4JaMb,Manager
ChantelleLe,UNeakIMewR,Employee
DarienLee,12LdurMGZj,Manager
WillowLin,RVMuSQ7TjH,Employee
SalmaMack,Z9L0sZRZqh,Employee
LiyahMann,UPFpCwFkDM,Employee
AsmaaMcCarthy,1noNFrwWum,Employee
FayeMcCoy,otbtZbsOKQ,Manager
SashaMcGrath,P3Y4LF1zlz,Manager
AsnanMcFarlane,TRoJo5Mjmp,Employee
KarolMiddleton,7piSkI26f4,Employee
NicolasMorton,6YDmjCghQ4,Employee
AlvinNicholls,31VaVLGqfV,Manager
KaneNorman,ZgUtB2jfi9,Employee
ArandeepParsons,73wm3GGXa8,Employee
NikoPorter,2UI69TDIKv,Employee
EsaRamsey,hiSrNou2BQ,Employee
KristinReilly,pznuNIX4Ni,Manager
JamesRomero,lvXgiCLGe5,Employee
RufusRussell,aqsodNQWhl,Employee
LaraSandoval,gXrb21kObp,Employee
LauraSandoval,S7zErAGdhF,Employee
IfanSherman,CypTxBJHf4,Employee
MillySteele,a1S9Z9xIc5,Employee
MichelleThorne,YQd9BI05TT,Employee
CaitlynVargas,uoJUVvxlLd,Employee
WillieWarren,IVuW9ejJ4g,Employee
AsimWest,vojtFTHHfV,Manager
UmarWood,w2sD8ol9l4,Employee
LeandroZimmerman,OujpFp9YA6,Employee
katie587,NOS19oAR,Customer
coolcat53,mKqqyLcU,Customer
lakes,2ALoAECK,Customer
laura,cVD9DfRL,Customer
LeaAnderson,XJRwSujl,Customer
jjohnson,kuYkLTIs,Customer
flyingpigs43,vaVVQF7K,Customer
ilovecats,5eEgC3mE,Customer
amy67,aa4HPCK3,Customer
roger23,IvPoJCFf,Customer
